0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:26:37 +0900] "GET /ClientTest/Ex10_list.html HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:27:00 +0900] "GET /ClientTest/Ex10_list.html HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:28:16 +0900] "GET /ClientTest/Ex10_list.html HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:42:37 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:44:11 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:45:05 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:47:08 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:47:13 +0900] "GET /ClientTest/Ex10_list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:49:21 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [19/Jun/2020:10:49:22 +0900] "GET /ClientTest/images/%EC%9C%A0%EC%B1%84%EA%BD%83%EB%B0%AD%EC%82%AC%EB%9E%8C.jpg HTTP/1.1" 200 61979
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:15:49 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:15:55 +0900] "GET /ClientTest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:15:55 +0900] "GET /ClientTest/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:15:57 +0900] "GET /ClientTest/test.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:16:20 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:16:21 +0900] "GET /clientTest HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:16:53 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:16:54 +0900] "GET /clientTest/test.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:16:55 +0900] "GET /clientTest/test.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:16:57 +0900] "GET /clientTest/test.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:17:04 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:17:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:17:06 +0900] "GET /clientTest/test.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:17:46 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:17:51 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:17:55 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:17:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:17:58 +0900] "GET /clientTest/test.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:18:06 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:18:08 +0900] "GET /ClientTest/test.html HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:19:29 +0900] "GET /ClientTest/Ex11_link.html HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:19:44 +0900] "GET /ClientTest/test/test.html HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:19:47 +0900] "GET /ClientTest/test/test.html HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:19:52 +0900] "GET /ClientTest/test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2020:11:20:02 +0900] "GET /ClientTest/test/test.html HTTP/1.1" 200 136
